date,hour,address,district,beat,grid,description,ucr_ncic_code,code_description,latitude,longitude
1/1/06,0:36,6665 STOCKTON BLVD,6,6C        ,1441,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.50632179,-121.4333041
1/1/06,0:39,7811 DEER MEADOW DR,5,5B        ,1616,246 PC SHOOT OCCUP DWELL/VEH,5213,Firing Weapon-Remarks,38.47400047,-121.45819329999999
1/1/06,0:40,3RD ST / O ST,3,3A        ,762,23152(A) VC DUI-ALCOHOL/DRUGS,5404,Driving Under Influence-Liquor,38.57724403,-121.50514369999999
1/1/06,0:46,27TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.57419952,-121.47055300000001
1/1/06,0:55,8TH ST / L ST,3,3M        ,742,DUI I RPT,7000,Code not found,38.57881567,-121.4970836
1/1/06,1:00,7850 COLLEGE TOWN DR,3,3C        ,888,484 PETTY THEFT/LICENSE PLATE,2399,Larceny-Remarks,38.55456463,-121.41061380000001
1/1/06,1:00,63RD ST / JANSEN DR,6,6B        ,1402,23152(A) VC DUI-ALCOHOL/DRUGS,5404,Driving Under Influence-Liquor,38.52199211,-121.4309007
1/1/06,1:00,11 ALCANON CT,1,1B        ,353,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.62453557,-121.52641979999999
1/1/06,1:00,TRUXEL RD / SAGINAW CIR,1,1B        ,414,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.62504428,-121.4978986
1/1/06,1:00,2600 N ST,3,3B        ,768,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.56984785,-121.47370520000001
1/1/06,1:06,4740 BECKET WAY,5,5B        ,1631,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.46518116,-121.44616529999999
1/1/06,1:30,CALVINE RD / CENTER PKWY,5,5C        ,1645,243(D) PC BATT/CIVILIAN W/INJ,1315,Aggravated Assault-Weapon,38.4497213,-121.4258719
1/1/06,1:30,6625 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.47143667,-121.42761499999999
1/1/06,1:51,RAINBOW AVE / HOWE AVE,2,2C        ,558,246.3 PC NEGL DISCH FIREARM,5213,Firing Weapon-Remarks,38.61972226,-121.41527990000002
1/1/06,2:00,2500 FLORIN RD,5,5A        ,1363,487(A) PC GRAND THEFT,2303,Shoplifting,38.49570962,-121.47782600000001
1/1/06,2:09,3012 ALBATROSS WAY,2,2C        ,567,CASUALTY REPORT,7000,Code not found,38.62070956,-121.42269579999999
1/1/06,2:10,1426 BREWERTON DR,1,1B        ,435,246 PC SHOOT OCCUP DWELL/VEH,5213,Firing Weapon-Remarks,38.61488957,-121.49342720000001
1/1/06,2:14,FRONT ST / K ST,3,3M        ,741,LOST PROPERTY - I RPT,7000,Code not found,38.58239328,-121.50593359999999
1/1/06,2:30,3807 24TH AVE,6,6A        ,1071,CASUALTY REPORT,7000,Code not found,38.53116122,-121.46612140000002
1/1/06,2:40,EMPRESS ST / ARDEN WAY,2,2C        ,603,11351.5 HS POSS SALE RCK COCAI,3532,Cocaine-Possession,38.60641085,-121.4473501
1/1/06,2:40,1415 L ST,3,3M        ,745,211 PC  ROBBERY UNSPECIFIED,1299,Robbery-Remarks,38.57682477,-121.4882896
1/1/06,2:47,2737 SCREECH OWL WAY,1,1A        ,344,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.63207451,-121.5287747
1/1/06,2:54,1900 CANTERBURY RD,2,2C        ,613,243(E)1 BATTERY NONCOHAB SPOUS,1315,Aggravated Assault-Weapon,38.60108154,-121.456171
1/1/06,3:00,7769 AMHERST ST,5,5A        ,1501,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.47489873,-121.49969440000001
1/1/06,3:00,100 ROCKMONT CIR,1,1A        ,103,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.67510292,-121.5226753
1/1/06,3:28,8032 TORRENTE WAY,5,5B        ,1618,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.46594742,-121.4513773
1/1/06,3:30,POWER INN RD / ELDER CREEK RD,6,6C        ,1406,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.51055016,-121.40908300000001
1/1/06,3:52,1125 ALHAMBRA BLVD,3,3C        ,841,475(C) PASS FORGED NOTE,2506,Possess Forged-Remarks,38.570664,-121.465448
1/1/06,4:00,4128 NORWOOD AVE,2,2A        ,233,245(A)(2) AWDW/FIREARM/CIVILIA,1315,Aggravated Assault-Weapon,38.643232399999995,-121.4563115
1/1/06,4:00,HONOR PKWY / REGENCY PARK CIR,1,1A        ,106,11377(A)HS POSS AMPHETAMINES,3572,Amphetamine-Possession,38.67318557,-121.50354909999999
1/1/06,4:00,3 CLOE CT,1,1A        ,115,487(A) GRAND THEFT-INSIDE,2308,Larceny-From Building,38.66695301,-121.50887069999999
1/1/06,4:00,8454 COEBURN ST,5,5C        ,1644,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.45025842,-121.443044
1/1/06,4:00,5620 34TH AVE,6,6B        ,1401,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.52337984,-121.4378491
1/1/06,4:15,BROADWAY / 16TH ST,4,4A        ,906,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.56159185,-121.4923822
1/1/06,4:15,1414 43RD ST,3,3C        ,844,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.56438552,-121.4516767
1/1/06,4:20,FLORIN RD / MUNSON WAY,5,5B        ,1359,TOWED/STORED VEH-14602.6,7000,Code not found,38.49603233,-121.4619674
1/1/06,4:30,1 CLAUSS CT,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.52967087,-121.4469794
1/1/06,5:14,MACK RD / CENTER PKWY,5,5B        ,1606,20002(A) HIT/RUN,5401,Hit and Run,38.47425283,-121.43687690000002
1/1/06,5:22,1426 I ST,3,3M        ,735,5150 WI DANGER SELF/OTHERS,7000,Code not found,38.57941421,-121.48643440000001
1/1/06,6:00,MACK RD / CENTER PKWY,5,5B        ,1606,TOWED/STORED VEHICLE,7000,Code not found,38.47425283,-121.43687690000002
1/1/06,6:00,1236 EL ENCANTO WAY,4,4C        ,1278,487(A) PC GRAND THEFT,2303,Shoplifting,38.49714012,-121.51368980000001
1/1/06,6:10,2801 L ST,3,3B        ,748,IMPOUNDED VEHICLE,7000,Code not found,38.57201606,-121.4692575
1/1/06,6:27,2884 DEL PASO BLVD,2,2B        ,564,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.61859754,-121.43825690000001
1/1/06,6:46,J ST / 29TH ST,3,3B        ,738,20002(A) HIT/RUN,5401,Hit and Run,38.57348427,-121.4678719
1/1/06,7:00,2518 HAWTHORNE ST,2,2B        ,551,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.61197962,-121.4578062
1/1/06,7:20,AZEVEDO DR / YARWOOD WAY,1,1B        ,411,PERSON INFORMATION - I RPT,7000,Code not found,38.62099831,-121.5104473
1/1/06,7:30,6021 WILKINSON ST,6,6C        ,1404,653M(B) PC ANNOY/RPT CALL HOME,5307,Assembly-Unlawful,38.51755951,-121.4142712
1/1/06,7:45,1200 ROANOKE AVE,2,2A        ,514,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.63465784,-121.43924009999998
1/1/06,7:46,RIO LINDA BLVD / MAIN AVE,2,2A        ,224,20002(A) HIT/RUN,5401,Hit and Run,38.65509277,-121.4477394
1/1/06,7:55,398 FLORIN RD,4,4C        ,1259,211 PC ROBBERY- BUSINESS,1299,Robbery-Remarks,38.5076709,-121.5412748
1/1/06,7:55,525 EXCHANGE ST,2,2A        ,213,CASUALTY REPORT,7000,Code not found,38.65966202,-121.4535351
1/1/06,8:00,535 LAMPASAS AVE,2,2B        ,552,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.61499077,-121.45347140000001
1/1/06,8:00,12 GRAND CANYON CT,1,1A        ,136,LOST PROPERTY - I RPT,7000,Code not found,38.65699142,-121.5038615
1/1/06,8:00,3709 PRESIDIO ST,2,2A        ,516,LOST PROPERTY - I RPT,7000,Code not found,38.63500106,-121.4213652
1/1/06,8:00,FLORIN RD / FRANKLIN BLVD,5,5B        ,1359,LOST PROPERTY - I RPT,7000,Code not found,38.49601155,-121.45927720000002
1/1/06,8:00,3615 33RD ST,6,6A        ,1041,484J PC PUBLISH CARD INFO,2605,Fraud-Illegal Use Credit Cards,38.54182394,-121.47095049999999
1/1/06,8:00,2324 NORTH AVE,2,2A        ,237,LOST PROPERTY - I RPT,7000,Code not found,38.63963285,-121.4130509
1/1/06,8:00,2800 CHATEAU MONTELENA WAY,1,1A        ,333,530 PC FALSE PERS. REC PROP,2604,Fraud-Imperson,38.63351404,-121.5282646
1/1/06,8:00,1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.61199425,-121.4244182
1/1/06,8:00,2230 J ST,3,3B        ,747,1708 US   THEFT OF MAIL,2310,Larceny-From Mails,38.57546355,-121.47618229999999
1/1/06,8:00,6581 HARMON DR,4,4C        ,1252,LOST PROPERTY - I RPT,7000,Code not found,38.50771305,-121.5534498
1/1/06,8:00,6054 RIVERSIDE BLVD,4,4C        ,1251,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.51617367,-121.52863789999999
1/1/06,8:00,1545 RIVER PARK DR,2,2C        ,626,484 PETTY THEFT CLOUT UNLOCKED,2305,Larceny-From Auto,38.60088271,-121.4352821
1/1/06,8:00,1287 TRAIL END WAY,1,1B        ,403,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.63244741,-121.4903723
1/1/06,8:00,2215 BORONA WAY,1,1B        ,410,530 PC FALSE PERS. REC PROP,2604,Fraud-Imperson,38.62275946,-121.51394599999999
1/1/06,8:00,6 SHELTER POINT CT,4,4C        ,1262,TELEPEST -I RPT,7000,Code not found,38.51110856,-121.53434340000001
1/1/06,8:00,970 FRIENZA AVE,2,2B        ,564,SUSP PERS-NO CRIME - I RPT,7000,Code not found,38.61286644,-121.44445470000001
1/1/06,8:00,1631 W EL CAMINO AVE,1,1B        ,434,530 PC FALSE PERS. REC PROP,2604,Fraud-Imperson,38.61301252,-121.4993798
1/1/06,8:05,SWEET PEA WAY / SHADY ARBOR CT,1,1B        ,473,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.60758365,-121.54110449999999
1/1/06,8:57,RIO LINDA BLVD / MAIN AVE,2,2A        ,224,TOWED/STORED VEHICLE,7000,Code not found,38.65509277,-121.4477394
1/1/06,9:00,5878 KAHARA CT,4,4C        ,1225,653M(B) PC ANNOY/RPT CALL HOME,5307,Assembly-Unlawful,38.5206653,-121.515833
1/1/06,9:15,18 GODELLO CT,1,1B        ,353,242 PC  BATTERY CIVILIAN,1313,Simple Assault,38.62749128,-121.52870700000001
1/1/06,9:15,7850 COLLEGE TOWN DR,3,3C        ,888,11377(A)HS POSS AMPHETAMINES,3572,Amphetamine-Possession,38.55456463,-121.41061380000001
1/1/06,9:30,4947 KOKOMO DR,1,1A        ,123,TOWED/STORED VEHICLE,7000,Code not found,38.66227019,-121.52913889999999
1/1/06,9:45,HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,TOWED/STORED VEHICLE,7000,Code not found,38.5695415,-121.40908400000001
1/1/06,9:53,4650 NATOMAS BLVD,1,1A        ,145,506 PC EMBEZZLEMENT/CONTRACTOR,2799,Embezzle-Remarks,38.65731154,-121.51199790000001
1/1/06,10:00,3724 SAN CARLOS WAY,6,6A        ,1042,MISSING PERSON I RPT,7000,Code not found,38.54072015,-121.4620361
1/1/06,10:00,4410 CRESTWOOD WAY,4,4A        ,1205,BURGLARY - I RPT,7000,Code not found,38.53437911,-121.50687420000001
1/1/06,10:00,1500 TESSA AVE,2,2B        ,546,TOWED/STORED VEHICLE,7000,Code not found,38.62194039,-121.43171299999999
1/1/06,10:00,7500 HOSPITAL DR,5,5C        ,1639,THREATS - I RPT,7000,Code not found,38.46337225,-121.41617179999999
1/1/06,10:00,8545 FOLSOM BLVD,3,3C        ,1116,MISSING PERSON,7000,Code not found,38.54929974,-121.3882189
1/1/06,10:30,8105 PHINNEY DR,5,5B        ,1618,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.46449565,-121.45678799999999
1/1/06,10:30,401 J ST,3,3M        ,732,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.58259727,-121.500996
1/1/06,11:00,3632 52ND ST,6,6B        ,1054,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.54100057,-121.44581470000001
1/1/06,11:01,SAN FRANCISCO BLVD / 50TH ST,6,6B        ,1064,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.53725889,-121.44775609999999
1/1/06,11:04,5524 DANJAC CIR,4,4A        ,1207,TOWED/STORED VEHICLE,7000,Code not found,38.52545723,-121.51393390000001
1/1/06,11:08,2571 ALTOS AVE,2,2B        ,552,CASUALTY REPORT,7000,Code not found,38.61361383,-121.454378
1/1/06,11:10,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,Shoplifting,38.58062786,-121.5014996
1/1/06,11:30,7486 CARELLA DR,5,5A        ,1381,MISSING PERSON,7000,Code not found,38.48682651,-121.5001978
1/1/06,11:30,7TH ST / J ST,3,3M        ,732,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.58137649,-121.49745379999999
1/1/06,11:30,5701 LERNER WAY,5,5C        ,1605,MISSING PERSON,7000,Code not found,38.48023792,-121.4360926
1/1/06,11:46,1321 E ST,3,3A        ,715,HARASSMENT - I RPT,7000,Code not found,38.58472227,-121.48585049999998
1/1/06,11:49,1912 BOWLING GREEN DR,2,2C        ,606,O/S AGENCY -ASSISTANCE- I RPT,7000,Code not found,38.60666541,-121.422421
1/1/06,12:00,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,Code not found,38.63862878,-121.3815598
1/1/06,12:00,7526 TITIAN PKWY,5,5B        ,1603,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.48420982,-121.448306
1/1/06,12:00,12 WATERGLEN CIR,3,3C        ,899,487(D)GRAND THEFT FIREARM/ANIM,2399,Larceny-Remarks,38.56047289,-121.39027040000002
1/1/06,12:00,4733 NASHUA WAY,2,2A        ,222,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.65394829,-121.46246299999999
1/1/06,12:00,971 ACACIA AVE,2,2B        ,544,LOST PROPERTY - I RPT,7000,Code not found,38.62221222,-121.44473190000001
1/1/06,12:00,3146 PALMER ST,2,2B        ,546,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.62524321,-121.4304825
1/1/06,12:00,8178 CENTER PKWY,5,5B        ,1633,653M(A) PC OBSCENE/THREAT CALL,5309,Harassing Communication,38.46027205,-121.4304773
1/1/06,12:30,1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.61199425,-121.4244182
1/1/06,12:45,1689 ARDEN WAY,2,2C        ,619,647(A) PC LEWD CONDUCT,7299,Morals-Decency Crimes-Remarks,38.60154457,-121.42747
1/1/06,12:45,1029 FRIENZA AVE,2,2B        ,564,TOWED/STORED VEHICLE,7000,Code not found,38.61317258,-121.44244690000001
1/1/06,13:00,5770 FREEPORT BLVD,4,4C        ,985,GANG ACTIVITY - I RPT,7000,Code not found,38.52199137,-121.49901489999999
1/1/06,13:10,1113 CONGRESS AVE,2,2B        ,525,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.63070055,-121.44086399999999
1/1/06,13:49,3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299,Burglary-Remarks,38.6374478,-121.3846125
1/1/06,14:00,560 SANDBURG DR,3,3C        ,879,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.56839814,-121.43135249999999
1/1/06,14:40,7608 AMHERST ST,5,5A        ,1501,HARASSMENT - I RPT,7000,Code not found,38.48020103,-121.50157859999999
1/1/06,14:57,3801 DUCKHORN DR,1,1A        ,333,422 PC THREAT/INTENT TO TERROR,1602,Threat-Terrorist/State Offenses,38.63910642,-121.52799999999999
1/1/06,14:59,5TH ST / P ST,3,3A        ,763,CASUALTY REPORT,7000,Code not found,38.57543889,-121.50297350000001
1/1/06,15:00,7301 MEADOWGATE DR,5,5B        ,1369,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.49203951,-121.46133020000002
1/1/06,15:00,5518 SAGPOND WAY,1,1A        ,102,484J PC PUBLISH CARD INFO,2605,Fraud-Illegal Use Credit Cards,38.677688399999994,-121.53454009999999
1/1/06,15:13,33RD ST / 11TH AVE,6,6A        ,1041,20001(A) VC HIT/RUN INJ/DEATH,5401,Hit and Run,38.54199544,-121.4712254
1/1/06,15:30,35 QUAY CT,4,4C        ,1265,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.5127908,-121.5313723
1/1/06,15:30,1814 19TH ST,3,3A        ,776,484 PETTY THEFT-SHOPLIFT,2303,Shoplifting,38.56796664,-121.48525420000001
1/1/06,15:30,2505 52ND AVE,4,4B        ,1346,LOST PROPERTY - I RPT,7000,Code not found,38.50488174,-121.4804148
1/1/06,15:36,5770 FREEPORT BLVD,4,4C        ,985,FOUND PROPERTY - I RPT,7000,Code not found,38.52199137,-121.49901489999999
1/1/06,15:40,1751 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE,7000,Code not found,38.64823548,-121.4261249
1/1/06,16:00,3661 TRUXEL RD,1,1A        ,337,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.63589608,-121.5055312
1/1/06,16:00,3904 MAY ST,2,2A        ,504,MISSING PERSON,7000,Code not found,38.63869884,-121.4424398
1/1/06,16:00,1650 BAINES AVE,1,1A        ,136,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.66157492,-121.4969793
1/1/06,16:00,6272 MACK RD,5,5C        ,1623,487(A) PC GRAND THEFT,2303,Shoplifting,38.47415723,-121.42969950000001
1/1/06,16:00,8389 FOLSOM BLVD,3,3C        ,1115,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.54818818,-121.3940644
1/1/06,16:25,FOLSOM BLVD / WATT AVE,3,3C        ,1106,NON INJ HR/MAIL OUT REPORT,7000,Code not found,38.553090600000004,-121.3751255
1/1/06,16:30,1801 BELL AVE,2,2A        ,226,TOWED/STORED VEHICLE,7000,Code not found,38.64770425,-121.4242104
1/1/06,16:51,2314 Q ST,3,3B        ,767,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.56737967,-121.47865149999998
